date,process,emotion,energy,key
2022/1/11,6,5,5,nan
2022/1/12,8,6,6,nan
2022/1/13,8,7,6,Arithmetic
2022/1/14,7,8,8,nan
2022/1/15,0,5,7,HAPPY Weekend
2022/1/16,6,7,7,Turn
2022/1/17,4,6,3,nan
2022/1/18,7,3,5,Foolish
2022/1/19,5,7,6,Focus
2022/1/20,6,3,6,nan
2022/1/21,8,6,6,Understand
2022/1/22,0,8,5,Balance
2022/1/23,5,7,6,Diet
2022/2/1,0,8,8,家人
2022/2/2,0,8,8,家人
2022/2/3,0,8,8,家人
2022/2/4,0,8,8,家人
2022/2/5,0,8,8,家人
2022/2/6,0,8,8,家人
2022/2/7,3,8,6,预估
2022/2/8,8,8,7,时间
2022/2/9,﻿8,6,6,制度
2022/4/13,5,7,7,None
2022/4/14,3,4,9,None
2022/4/15,3,9,9,None
2022/4/16,0,4,8,高兴
2022/4/17,0,3,7,happy
2022/4/18,8,5,7,learning
2022/4/19,1,6,2,code
2022/4/20,0,0,0,None
2022/4/21,0,0,0,None
2022/4/22,0,0,0,None
2022/4/23,10,8,8,dream
2022/4/24,0,0,0,None
2022/4/25,0,0,0,None
2022/4/26,0,0,0,None
2022/4/27,0,0,0,None
2022/4/28,0,0,0,None
2022/4/29,0,0,0,None
2022/4/30,0,0,0,None
2022/5/1,0,0,0,None
2022/5/2,0,0,0,None
2022/5/3,0,0,0,None
2022/5/4,0,0,0,None
2022/5/5,0,0﻿,0,None
2022/5/6,10,8,8,plan
2022/5/7,0,0,0,None
2022/5/8,0,0,0,None
2022/5/9,0,0,0,None
2022/5/10,0,0,0,None
2022/5/11,0,0,0,None
2022/5/12,0,0,0,None
2022/5/13,0,0,0,None
2022/5/14,10,8,8,午睡
2022/5/15,10,6,8,沮丧
2022/5/16,0,0,0,None
2022/5/17,10,8,8,dream
2022/5/18,0,0,0,None
2022/5/19,0,0,0,None
2022/5/20,0,0,0,None
